"lo_win","year","hiteam","loteam","upper.elo.mean","upper.elo.se_mean","upper.elo.sd","upper.elo.X2.5.","upper.elo.X25.","upper.elo.X50.","upper.elo.X75.","upper.elo.X97.5.","upper.elo.strength_of_schedule","lower.elo.mean","lower.elo.se_mean","lower.elo.sd","lower.elo.X2.5.","lower.elo.X25.","lower.elo.X50.","lower.elo.X75.","lower.elo.X97.5.","lower.elo.strength_of_schedule","elo_m.pred","upper.pred.mean","upper.pred.se_mean","upper.pred.sd","upper.pred.X2.5.","upper.pred.X25.","upper.pred.X50.","upper.pred.X75.","upper.pred.X97.5.","upper.pred.strength_of_schedule","lower.pred.mean","lower.pred.se_mean","lower.pred.sd","lower.pred.X2.5.","lower.pred.X25.","lower.pred.X50.","lower.pred.X75.","lower.pred.X97.5.","lower.pred.strength_of_schedule","pred_m.pred","upper.ls.estimate","lower.ls.estimate","upper.seed","lower.seed","round","upper.gamesLastYear","lower.gamesLastYear"
"1","1996","729","515","1.25750076168536","0.0046758048941739","0.295723867203042","0.683511746676267","1.05528221230583","1.25590996483993","1.45327150265175","1.85784886053251","0.415707192401273","0.642629468805226","0.00427347916871134","0.270278554128216","0.110826532401877","0.458963600544315","0.638502376801042","0.825083641356424","1.18532822909042","0.491767545987875","0.283921078268196","15.7691188142872","0.0339434231618412","2.14677057548665","11.7408797230356","14.3109349851324","15.7482505950687","17.207273391847","20.0071230944547","5.65492366186241","15.7691188142872","0.0339434231618412","2.14677057548665","11.7408797230356","14.3109349851324","15.7482505950687","17.207273391847","20.0071230944547","5.65492366186241","0.249330172666048","15.7691188142872","8.20386547098799","5","12","1",NA,NA
"0","1996","559","555","1.99745808026456","0.00547540213727602","0.346294837182923","1.3593591530232","1.75916506761702","1.98282260746516","2.2204088656169","2.71372789963951","0.379378632434085","-0.0406276497643889","0.00456377029463458","0.28863817697726","-0.599697906103905","-0.233664828731182","-0.0426150662087316","0.154935173146677","0.529921345503494","-0.204726352561202","0.0318349550477302","24.3270396525367","0.0335189043456451","2.11992164811108","20.2004659838109","22.9177809964736","24.2980375677871","25.73727240997","28.547571489723","6.80057074202727","24.3270396525367","0.0335189043456451","2.11992164811108","20.2004659838109","22.9177809964736","24.2980375677871","25.73727240997","28.547571489723","6.80057074202727","0.00928257225238734","24.3270396525367","-2.05012240766882","1","16","1",NA,NA
"1","1996","666","576","1.20919425425719","0.00471712406594638","0.298337121079697","0.63442962381105","1.00438845530472","1.20253741712644","1.41487110964331","1.79966136949768","0.468120650594344","1.02265149464488","0.00528481670302696","0.334241155961337","0.410122633357991","0.790963779941295","1.01817899117068","1.2435269689529","1.69212241826079","-0.473711093347367","0.432142445352566","12.838041538375","0.0323808569836236","2.0479452131284","8.78954258120076","11.4672485109867","12.8632790053638","14.2447887229063","16.7564997745387","5.85228519726117","12.838041538375","0.0323808569836236","2.0479452131284","8.78954258120076","11.4672485109867","12.8632790053638","14.2447887229063","16.7564997745387","5.85228519726117","0.507587930610629","12.838041538375","13.0556922645114","5","12","1",NA,NA
"0","1996","581","577","1.0444875591182","0.00472554196987151","0.298869516070255","0.463517286720874","0.843776845488663","1.04219413864759","1.24212287749958","1.64251999894474","0.0718902253605749","0.845634698988808","0.00411504736984547","0.260258447363939","0.33665359176877","0.666393278128519","0.843973781028384","1.01967060304978","1.36503626649604","0.669675433131855","0.426567364960401","10.1757590170068","0.0359798952842453","2.27556838145133","5.77230022202884","8.63888838960486","10.1716727698435","11.7197047863718","14.737171025152","2.29527290679366","10.1757590170068","0.0359798952842453","2.27556838145133","5.77230022202884","8.63888838960486","10.1716727698435","11.7197047863718","14.737171025152","2.29527290679366","0.648245457491468","10.1757590170068","14.440861468356","9","8","1",NA,NA
"0","1996","604","551","0.929091378459981","0.00449362986090346","0.284202106444011","0.38246457701445","0.731985605044296","0.926114967658993","1.11601252593145","1.51470811318387","0.433486418591846","0.882475663035396","0.00455829669891379","0.288291996387887","0.319550639948866","0.690154744784484","0.876417119274611","1.07846338437987","1.44932027684797","0.482880237998175","0.482673154200839","16.0915031664355","0.0334706853107475","2.11687200857405","11.9581533110773","14.662571394792","16.0988170969087","17.5152302782746","20.2868114135856","5.52210633579022","16.0915031664355","0.0334706853107475","2.11687200857405","11.9581533110773","14.662571394792","16.0988170969087","17.5152302782746","20.2868114135856","5.52210633579022","0.33217888070086","16.0915031664355","11.241923166262","8","9","1",NA,NA
"0","1996","629","539","1.14009338695416","0.00442129855521173","0.279627473001616","0.607085178111912","0.953308293329686","1.13704708960104","1.32431719195175","1.70409334441584","0.471218719652442","0.752588637819133","0.00438157571595197","0.277115180057824","0.197142197005664","0.570559073784237","0.748413483357719","0.935117149009113","1.31469317378672","0.390836040792971","0.358903663509064","8.84073309121801","0.0326652114703411","2.06592936994671","4.79220619164571","7.46315244850431","8.8211770301155","10.2147987455562","12.9455097401902","5.88779730571915","8.84073309121801","0.0326652114703411","2.06592936994671","4.79220619164571","7.46315244850431","8.8211770301155","10.2147987455562","12.9455097401902","5.88779730571915","0.552078532990726","8.84073309121801","10.303181019986","5","12","1",NA,NA
"1","1996","756","640","-0.31649134389558","0.00411475254383397","0.260239800929744","-0.820840359713341","-0.498216352542368","-0.315688658121284","-0.14011177074251","0.18310668609552","-0.121379765927892","2.01155179370413","0.00540635293373264","0.34192778210657","1.37471382376114","1.76951120719699","1.99864935872794","2.23460155365058","2.71141573015146","0.612031411223479","0.984135068275251","-3.70494155154147","0.0344291449377011","2.17749031790383","-7.95529288581691","-5.17993828266732","-3.72527220347786","-2.23026615820757","0.609600886086294","-0.0731001254619944","-3.70494155154147","0.0344291449377011","2.17749031790383","-7.95529288581691","-5.17993828266732","-3.72527220347786","-2.23026615820757","0.609600886086294","-0.0731001254619944","0.997361218386567","-3.70494155154147","27.571674650053","16","1","1",NA,NA
"1","1996","679","660","0.555680006882452","0.0044157252023623","0.279274983217456","0.0160048041512766","0.368186066817788","0.551486926202248","0.738652379717933","1.12469556599623","-0.107671577763726","1.12171381346364","0.00448910077458701","0.283915661874421","0.579765704298924","0.924435006477488","1.12569511111269","1.3085768551974","1.68880750373311","0.385159839752807","0.700747867429883","1.56717440349695","0.0344527531255358","2.17898343080356","-2.55367606935394","0.0873796530636472","1.54384938875687","3.03557988708878","5.92134479068038","-3.1424845854438","1.56717440349695","0.0344527531255358","2.17898343080356","-2.55367606935394","0.0873796530636472","1.54384938875687","3.03557988708878","5.92134479068038","-3.1424845854438","0.846315930303701","1.56717440349695","12.9914339161683","13","4","1",NA,NA
"1","1996","809","663","-0.587500926093496","0.00406757388010548","0.25725596024284","-1.09459131137153","-0.761412603544357","-0.582498164080625","-0.415153386487178","-0.0875720077251894","-0.181010309303596","2.24098614612505","0.00565270091605834","0.357508196529292","1.56970623190364","1.99688176779854","2.23110756943376","2.46431230602201","2.9839175805965","0.496325423285658","0.995307108475221","-8.14023915224067","0.0340132687488353","2.1511879982749","-12.4573377823492","-9.61057402700822","-8.11333808753874","-6.69468395758211","-3.90006680590676","-2.94385163560157","-8.14023915224067","0.0340132687488353","2.1511879982749","-12.4573377823492","-9.61057402700822","-8.11333808753874","-6.69468395758211","-3.90006680590676","-2.94385163560157","0.99213276056314","-8.14023915224067","18.8978454663737","16","1","1",NA,NA
"1","1996","825","675","0.607614498334661","0.00405098576118127","0.256206835484875","0.103842287246404","0.436606326821171","0.6041327404165","0.773896591613847","1.12998627331138","-0.103129380894586","1.1466751442132","0.00433191813028898","0.273974558581824","0.616489597828627","0.961213457520372","1.1439395527084","1.32196477376474","1.7104946816386","0.414410190824808","0.692908623710422","7.05994448332829","0.0327136266974812","2.06899141777066","3.0987689841158","5.66727419589766","7.04108900666626","8.47735456954662","11.0710767638729","-0.067506690005415","7.05994448332829","0.0327136266974812","2.06899141777066","3.0987689841158","5.66727419589766","7.04108900666626","8.47735456954662","11.0710767638729","-0.067506690005415","0.693477026918136","7.05994448332829","12.7059196518197","12","5","1",NA,NA
