"season","lowerid","upperid","pred"
"A",511,515,0.699709905460524
"A",511,519,0.869066975867055
"A",511,527,0.505334766666425
"A",511,530,0.684540649823901
"A",511,539,0.631881944197498
"A",511,541,0.831373434456703
"A",511,549,0.28918473333977
"A",511,551,0.598903568306622
"A",511,555,0.924806402220785
"A",511,559,0.178454565019645
"A",511,576,0.535165263229025
"A",511,577,0.485750489227755
"A",511,581,0.634900894754292
"A",511,599,0.695984134319608
"A",511,603,0.298577550421082
"A",511,604,0.427168441428372
"A",511,606,0.464853838531529
"A",511,625,0.451749531849197
"A",511,628,0.377613787456224
"A",511,629,0.67953426591444
"A",511,636,0.369730662532856
"A",511,637,0.754743402795423
"A",511,640,0.112854732104013
"A",511,651,0.541598312979709
"A",511,660,0.537549785994861
"A",511,662,0.532306186437406
"A",511,663,0.331840771723731
"A",511,666,0.543009798980829
"A",511,670,0.5224167534132
"A",511,675,0.54773129465217
"A",511,679,0.867575544674208
"A",511,681,0.662726574902988
"A",511,685,0.9141686853727
"A",511,690,0.785052256838969
"A",511,701,0.688847237786382
"A",511,703,0.76214679083245
"A",511,708,0.439405331347062
"A",511,721,0.597601357327612
"A",511,729,0.438574205043143
"A",511,732,0.830610395681434
"A",511,736,0.799192078111763
"A",511,738,0.437178783391199
"A",511,747,0.907721114303039
"A",511,756,0.943729680187726
"A",511,758,0.710596119125371
"A",511,783,0.557447805676081
"A",511,786,0.476936645273507
"A",511,789,0.665284985607441
"A",511,793,0.609157751178007
"A",511,796,0.512316743842388
"A",511,802,0.580337772709457
"A",511,809,0.976376510590505
"A",511,810,0.568380084773406
"A",511,812,0.903856857038674
"A",511,815,0.894880928958943
"A",511,821,0.415214428834958
"A",511,825,0.734319103030907
"A",511,826,0.911528289872114
"A",511,829,0.390695475962984
"A",511,831,0.633938592833339
"A",511,833,0.937740257757448
"A",511,839,0.431049639693486
"A",511,844,0.677740707753457
"A",515,519,0.725913157069682
"A",515,527,0.305592061913476
"A",515,530,0.483476263174459
"A",515,539,0.425594974154758
"A",515,541,0.668655369585085
"A",515,549,0.14035547638478
"A",515,551,0.392924376538085
"A",515,555,0.81989968743347
"A",515,559,0.0746037255864317
"A",515,576,0.332787399041884
"A",515,577,0.288082627630432
"A",515,581,0.430158905385465
"A",515,599,0.49612617151253
"A",515,603,0.146760753243988
"A",515,604,0.239384241981916
"A",515,606,0.270045907387629
"A",515,625,0.259961541516217
"A",515,628,0.20214221214282
"A",515,629,0.477217828053022
"A",515,636,0.196065904852172
"A",515,637,0.56597964025063
"A",515,640,0.0407774420487631
"A",515,651,0.337691463721182
"A",515,660,0.333874310598054
"A",515,662,0.329462814404311
"A",515,663,0.169110234734878
"A",515,666,0.338682345725728
"A",515,670,0.320135540682315
"A",515,675,0.342718766407091
"A",515,679,0.723306487014736
"A",515,681,0.458976421243255
"A",515,685,0.800552910320415
"A",515,690,0.60526208932288
"A",515,701,0.487796171589214
"A",515,703,0.575585452449456
"A",515,708,0.250070966166654
"A",515,721,0.391080808652658
"A",515,729,0.249330172666048
"A",515,732,0.667767259509291
"A",515,736,0.624632853854799
"A",515,738,0.248026596027352
"A",515,747,0.790317721252258
"A",515,756,0.856282327907531
"A",515,758,0.512682934287298
"A",515,783,0.352550615218582
"A",515,786,0.280540149572923
"A",515,789,0.461498631334925
"A",515,793,0.403079776872762
"A",515,796,0.311650590841724
"A",515,802,0.374601041033163
"A",515,809,0.928073834351483
"A",515,810,0.362960233431573
"A",515,812,0.783281289911524
"A",515,815,0.768047986083678
"A",515,821,0.231038079385547
"A",515,825,0.540926444211885
"A",515,826,0.795782070356198
"A",515,829,0.211714511647584
"A",515,831,0.428778537837517
"A",515,833,0.845119805230368
"A",515,839,0.243370235133146
"A",515,844,0.475746981902482
"A",519,527,0.134532879311671
"A",519,530,0.260998060982389
"A",519,539,0.215749752515278
"A",519,541,0.435054279596338
"A",519,549,0.0472628644150411
"A",519,551,0.1922342100359
"A",519,555,0.623771305760492
"A",519,559,0.0207951273571797
"A",519,576,0.151527458052877
"A",519,577,0.1235267973381
"A",519,581,0.21969730633449
"A",519,599,0.271434503109917
"A",519,603,0.0496849370687484
"A",519,604,0.096117044056661
"A",519,606,0.112806490841235
"A",519,625,0.107309981054361
"A",519,628,0.0762999753713178
"A",519,629,0.255557182007525
"A",519,636,0.0735972032175975
"A",519,637,0.332290933132721
"A",519,640,0.00996628575721068
"A",519,651,0.154422649915643
"A",519,660,0.152338216410185
"A",519,662,0.148937798842255
"A",519,663,0.0603090746253678
"A",519,666,0.155384082186441
"A",519,670,0.143146777465971
"A",519,675,0.158082197736825
"A",519,679,0.497309516639298
"A",519,681,0.24157367063514
"A",519,685,0.59699476503067
"A",519,690,0.369758462983786
"A",519,701,0.264434273802592
